"id","estimate_id","pass","description","price"
568,352,,"Diagnose and install switch",55.00
569,353,,,0.00
570,354,,"Install brakes and rotors",82.50
571,354,,"Install belt",27.50
572,354,,"Install plugs and wires",82.50
573,355,,"Install own rotors",75.00
574,356,,"Labor on manifold set",165.00
575,356,,"Adjusted idle, clean throttle body",0.00
576,367,,"Install own fuel pump",110.00
577,368,,"Labor on air conditioning",82.50
578,357,,"Lube",6.00
579,358,,,
580,358,,,
581,359,,"Install starter",82.50
582,360,,"Install water pump",99.00
583,360,,"Towing",45.00
584,360,,"Charge air conditioner",30.00
585,361,,"Install own radiator",55.00
586,361,,"Install own motor mount",55.00
587,361,,"Install headlight switch",27.50
588,361,,"Repair heater blower wires",55.00
589,362,,"Install starter",55.00
590,363,,"Install brakes and rotors",55.00
591,363,,,
592,364,,"Labor on intake gasket and valve cover sets",302.50
593,365,,"Install oil pressure switch",27.50
594,365,,"Install brakes and rotor",82.50
595,362,,,
596,363,,,
597,366,,"Charge air conditioner",30.00
598,369,,"Install wheel cylinders",55.00
599,370,,"Lube",6.00
600,371,,"Install used transmission",125.00
601,367,,,
602,372,,"Install front struts",165.00
603,373,,"Charge air conditioner",30.00
604,374,,"Lube",6.00
605,374,,"Labor on cable ends",20.00
606,84,,,
607,374,,"Tire Repair",10.00
608,375,,"Wheel alignment",39.95
609,372,,"Wheel alignment",39.95
610,376,,"Install brake light switch",27.50
611,377,,"Tire Repair",7.00
612,376,,,
613,378,,,
614,374,,,
615,379,,"Wheel alignment",39.95
616,380,,"Charge air conditioner",30.00
617,381,,,
618,382,,"Lube",6.00
619,371,,,
620,368,,,
621,383,,"Lube",6.00
622,358,,,
623,384,,"4 Wheel alignment",39.95
624,384,,"Rotate tires",10.00
625,384,,,
626,384,,,
627,381,,,
628,385,,"Charge air conditioner",30.00
629,386,,"Towing",45.00
630,387,,"Install own water pump",110.00
631,388,,,0.00
632,388,,,
633,389,,"Change own oil and lube",11.00
634,389,,"Install fuel filter",27.50
635,390,,"Towing",45.00
636,390,,"Check electrical system, repair ground connection at engine block",55.00
637,391,,"Tighten tensioner",25.00
638,393,,,
639,393,,"Install belt",27.50
640,392,,,
641,392,,"Rotate tires",10.00
642,392,,,
643,393,,,
644,394,,"Install brake pads",55.00
645,395,,"Wheel alignment",39.95
646,395,,"Remove crank shaft pulley and install oil pressure switch",55.00
647,396,,"Install switch",27.50
648,397,,"Cleaned out egr valve passage",82.50
649,397,,,
650,398,,"Install alternator and belt",60.00
651,399,,,
652,400,,"Labor on plugs and wires",82.50
653,400,,"Labor on brakes",55.00
654,400,,"Lube",6.00
655,401,,,0.00
656,402,,"Install steering column",88.00
657,402,,"Check electrical system and replace alternator fuse",27.50
658,403,,"Install own used transmission",360.00
659,404,,"Install dimmer switch",82.50
660,403,,"Tire Repair",7.00
661,405,,"Lube",6.00
662,406,,"Install plugs and wires",82.50
663,406,,"Install new front brakes",0.00
664,406,,"Cleaned mass air flow",0.00
665,407,,"Repair connections at tail socket",110.00
666,408,,"Install own clutch assembly",200.00
667,409,,,0.00
668,410,,"Lube",6.00
669,399,,,
670,373,,,
671,391,,,
672,389,,,
673,412,,"Change own oil",5.00
674,412,,"Install fuel filter",27.50
675,413,,"Install brakes and rotors",82.50
676,414,0,,0.00
677,414,0,,0.00
678,415,,,
679,415,,,
680,415,,,
681,416,,,
682,416,,,
683,417,,,
684,417,,,
685,418,,,
686,415,,,
687,416,,,
688,417,,,
689,418,,,
690,420,,,0.00
691,420,,,
692,344,,,
693,344,,"ILNBM8JY601845   Lic #111 8140",
694,421,,"Lube",6.00
695,421,,"Charge air conditioner",30.00
696,422,,"Change own oil and lube",11.00
697,422,,"Install own motor mount",38.50
698,423,,"Change own oil",10.00
699,423,,"Install own shocks`",55.00
700,424,,"Install master cylinder",55.00
701,425,,"Install window motor",82.50
702,425,,"Repair turn signal and tail light",5.00
703,426,,,0.00
704,426,,,
705,427,,"Install switch and lock cylinder",110.00
706,427,,"Install starter",82.50
707,427,,"Install fuel filter",27.50
708,427,,"Install muffler hanger",10.00
709,427,,"Replace gasoline",15.00
710,427,,"Towing",45.00
711,428,,"Install axle",82.50
712,429,,"Change own oil and grease",11.00
713,430,,"Install front brakes and rotors",82.50
714,431,,"Install rear leaf spring",154.00
715,432,,"Install oil pressure switch",20.00
716,432,,"Install brake hose",45.00
717,433,,"Grease",6.00
718,434,,"Install belt",27.50
719,434,,"Install all hoses",82.50
720,435,,,0.00
721,436,,"Install belt",27.50
722,437,,"Install valve cover gaskets",77.00
723,437,,"Charge air conditioner",30.00
724,438,,"Install  crank shaft sensor and crank sensor wiring harness, scan computer",165.00
725,439,,"Check noise in van and change tire",10.00
726,,,,
727,,,,
728,440,,"Install starter",55.00
729,441,,"Install coil and charge air conditioner",210.00
730,442,,"Labor on A/C",30.00
731,443,,"Install shocks",40.00
732,441,,,
733,444,,"change own oil and grease",16.00
734,444,,,
735,445,,"Towing and install plugs",45.00
736,446,0,,0.00
737,447,,"Replace fuse for brake lights",5.00
738,448,,"Install own front brakes",50.00
739,449,,"Lube",6.00
740,449,,"Charge air conditioner",30.00
741,450,,"Install switch",27.50
742,451,,"Install alternator",40.00
743,451,,"Install rear shocks",44.00
744,451,,"Install belts",27.50
745,451,,"Install sway bar link kit",27.50
746,452,,"Charge air conditioner",30.00
747,453,,"Install used rear end",220.00
748,454,,"Install brake lines",55.00
749,455,,"Install oxygen sensor",82.50
750,456,,"Install window gear kit (right side)",55.00
751,456,,"Install window motor (left side)",0.00
752,456,,"Adjust air gap on A/C clutch",55.00
753,438,,,
754,438,,,
755,438,,,
756,458,,,
757,457,,"Install oxygen sensor",82.50
758,459,,,
759,459,,,
760,460,,"Towing",45.00
761,460,,"Install rotor and distributor cap",82.50
762,460,,"Install plug wires",27.50
763,461,,"Rotate tires and tire repair",17.00
764,462,,"Towing",45.00
765,462,,"Install ignition control module",55.00
766,462,,,
767,463,,"Install plugs and wires",82.50
768,463,,"Install rotors",82.50
769,464,,"Install own engine",560.00
770,464,,"Install window motor",66.00
771,464,,"Repair anti lock brakes",27.50
772,465,,"Scan computer and install sensor",82.50
773,466,,"Install brake hose",55.00
774,467,55,"Lube",6.00
775,467,,"Install brake pads",55.00
776,467,,,
777,467,,,
778,468,,"Scan computer and repair vacuum hose",27.50
779,469,,"Install alternator and regulator",55.00
780,470,,"Install water pump and timing belt(own)",187.00
781,471,,"Install plugs and ignition coil",55.00
782,472,,"Install ujoints",82.50
783,473,,"Install belt",27.50
784,474,,"Repair sliding door",55.00
785,475,,"Change own oil",5.00
786,476,,"Install transmission filter kit",55.00
787,477,,"Install flywheel and flywheel spacer",300.00
788,478,,"Wheel alignment",39.95
789,479,,,
790,480,,"Install switch",22.00
791,481,,,0.00
792,479,,,
793,482,,"Install gasket sets",300.00
794,483,,,0.00
795,484,,"Install selenoid and gasket",82.50
796,485,,"Repair wiring for ABS sensor",55.00
797,486,,"Install sensor",82.50
798,486,,"Install spark plugs",22.00
799,487,,"Install front brakes and rotors",82.50
800,488,,"Lube",6.00
801,488,,"Charge air conditioner",30.00
802,488,,"Install tow hooks",27.50
803,489,,,
804,490,,"Install power steering cyllinder",55.00
805,490,,"Charge air conditioner",30.00
806,491,,"Install window regulator",82.50
807,489,,,
808,492,,"Charge air conditioner",30.00
809,493,,"Scan computer",27.50
810,493,,"Install speed sensors",55.00
811,494,,,
812,495,,"Charge air conditioner",30.00
813,496,,"Install air compressor",110.00
814,497,,"Install pressure hose",82.50
815,498,,"Install own power steering gear box",93.50
816,499,,"Change own oil",5.00
817,500,,,0.00
818,500,,,
819,501,,"Install brake pads",55.00
820,502,,"Repair wiring at pos battery cable",55.00
821,503,,,
822,503,0,,0.00
823,502,,"Towing",45.00
824,504,,"Install brake shoes,  wheel cylinder and drum",62.50
825,505,,"Install own brakes and rotors and change own oil",92.50
826,506,,"Towing",45.00
827,506,,"Install brake lines",55.00
828,494,,,
829,494,,,
830,496,,,
831,504,,,
832,507,,"Install starter",93.50
833,507,,"Towing",55.00
834,508,,"Labor on air conditioner",200.00
835,509,,,0.00
836,510,,,
837,510,,,
838,511,,,0.00
839,512,,"Labor on tires",110.00
840,513,,"Install own power steering gear box",88.00
841,514,,"Install speedometer cable",55.00
842,515,,"Install trailer hitch and install trailer wiring harness",55.00
843,516,,"Install brakes and rotors",82.50
844,516,,"Install water pump",80.00
845,516,,"Install belt",38.00
846,517,,"Wheel alignment",39.95
