"id","estimate_id","quantity","mfr_no","part_no","description","cost","price","pass2"
31952,15195,1,,,"Catalytic converter",257.86,383.36,0
31953,15195,1,,,"Crank shaft sensor",38.51,53.70,0
31954,15196,0,,,"0",,0.00,0
31955,15196,0,,,"0",,0.00,0
31956,15196,,,,,,,0
31957,15197,1,,,"Oil filter",1.79,8.00,0
31958,15198,1,,,"Oil filter",1.79,8.00,0
31959,15199,0,,,"0",0.00,0.00,0
31960,15196,,,,,,,0
31961,15200,1,,,"Front shocks",38.00,49.72,0
31962,15201,1,,,"Oil filter",1.79,8.00,0
31963,15202,1,,,"Oil filter",1.79,8.00,0
31964,15202,1,,,"Stabilizer bar bushings and end links",64.20,113.00,0
31965,12933,,,,,,,0
31966,15203,1,,,"Battery",65.95,85.95,0
31967,15204,1,,,"Water pump and antifreeze",44.17,77.74,0
31968,15204,,,,,,,0
31969,15205,0,,,,0.00,0.00,0
31970,15088,,,,,,,0
31971,15206,0,,,,0.00,0.00,0
31972,15207,0,,,,0.00,0.00,0
31973,15208,0,,,,0.00,0.00,0
31974,15209,1,,,"Oil filter",1.79,8.00,0
31975,15210,1,,,"Thermostat and gasket",14.76,25.98,0
31976,15211,1,,,"Oil filter",1.79,8.00,0
31977,15211,,,,,,,0
31978,15212,1,,,"Thermostat and antifreeze",14.91,26.24,0
31979,15212,,,,,,,0
31980,15213,1,,,"Fuel pump",120.86,212.72,0
31981,15213,1,,,"Strainers",18.49,32.54,0
31982,15213,1,,,"Tube assembly",14.57,25.65,0
31983,15214,1,,,"Transmission fluid",20.00,40.00,0
31984,15214,1,,,"Exhaust hanger",5.00,10.00,0
31985,15214,,,,,,,0
31986,,,,,,,,0
31987,,1,,,"spark plugs",,48.21,0
31988,,1,,,"Spark plug wires",,47.85,0
31989,,1,,,"Oil Filter",,8.00,0
31990,,1,,,"Air filter",,16.24,0
31991,15215,1,,,"Spark plugs",27.39,48.21,0
31992,15215,1,,,"Spark plug wires",27.19,47.85,0
31993,15215,1,,,"Oil filter",1.79,8.00,0
31994,15215,1,,,"Air filter",9.23,16.24,0
31995,15215,1,,,"Belt tensioner",49.89,87.80,0
31996,14888,,,,,,,0
31997,15217,1,,,"Battery",67.99,87.99,0
31998,15218,1,,,"Oil filter",1.79,8.00,0
31999,15219,0,,,,0.00,0.00,0
32000,15219,,,,,,,0
32001,15220,1,,,"Power steering pump",252.75,337.00,0
32002,15220,1,,,"Power steering fluid",3.00,5.00,0
32003,15220,1,,,"Oil filter",1.79,8.00,0
32004,15221,1,,,"Oil filter",1.79,8.00,0
32005,15222,1,,,"Thermostat, gasket and connectors",22.00,30.92,0
32006,15223,0,,,,0.00,0.00,0
32007,15224,0,,,,0.00,0.00,0
32008,13445,,,,,,,0
32009,15225,1,,,"egr valve",42.96,74.80,0
32010,15225,,,,,,,0
32011,15226,1,,,"Ignition switch",25.78,45.37,0
32012,15227,1,,,"Thermostat, gasket and antifreeze",10.55,18.57,0
32013,15228,1,,,"Used drive shaft",210.00,310.00,0
32014,15229,0,,,,0.00,0.00,0
32015,15230,1,,,"Front brake pads",19.84,34.91,0
32016,15230,1,,,"Front rotors",28.90,50.87,0
32017,15231,1,,,"Thermostat and gasket",12.84,22.60,0
32018,14931,,,,,,,0
32019,15231,1,,,"Oil filter",1.79,8.00,0
32020,15232,1,,,"Rear ujoints",34.67,61.01,0
32021,15196,,,,,,,0
32022,15233,1,,,"Front brake pads",30.92,60.58,0
32023,15233,1,,,"Front rotors",170.04,272.00,0
32024,15234,1,,,"Battery",49.95,69.95,0
32025,15235,1,,,"Used engine",1200.00,1600.00,0
32026,15235,1,,,"Misc. - oil, filter, thermostat, antifreeze, etc",50.00,75.00,0
32027,15236,1,,,"Fuel pump",25.20,44.35,0
32028,15237,0,,,"0",,0.00,0
32029,15237,,,,,,,0
32030,15238,1,,,"Spark plugs and wires",77.07,135.65,0
32031,14876,,,,,,,0
32032,14875,,,,,,,0
32033,14877,,,,,,,0
32034,14878,,,,,,,0
32035,14879,,,,,,,0
32036,14880,,,,,,,0
32037,15239,1,,,"Oil filter",1.79,8.00,0
32038,15239,,,,,,,0
32039,15240,1,,,"Shift actuator assembly",137.03,225.00,0
32040,15241,1,,,"Left front hub assembly",94.87,166.97,0
32041,15242,1,,,"Headlight and turn signal bulb",9.00,15.36,0
32042,9014,,,,,,,0
32043,12732,,,,,,,0
32044,15243,1,,,"Driver side window regulator",72.26,127.16,0
32045,15244,0,,,,0.00,0.00,0
32046,15231,1,,,"Oil pressure switch",9.40,17.80,0
32047,15231,1,,,"Transmission solenoid",,204.00,0
32048,15245,1,,,"Oil filter",1.79,8.00,0
32049,14886,,,,,,,0
32050,14887,,,,,,,0
32051,14888,,,,,,,0
32052,14889,,,,,,,0
32053,14890,,,,,,,0
32054,14885,,,,,,,0
32055,14884,,,,,,,0
32056,14883,,,,,,,0
32057,14882,,,,,,,0
32058,14880,,,,,,,0
32059,14879,,,,,,,0
32060,14878,,,,,,,0
32061,14877,,,,,,,0
32062,14875,,,,,,,0
32063,14892,,,,,,,0
32064,14893,,,,,,,0
32065,14894,,,,,,,0
32066,14895,,,,,,,0
32067,14896,,,,,,,0
32068,14897,,,,,,,0
32069,14899,,,,,,,0
32070,14899,,,,,,,0
32071,14900,,,,,,,0
32072,14901,,,,,,,0
32073,14902,,,,,,,0
32074,14903,,,,,,,0
32075,14904,,,,,,,0
32076,14905,,,,,,,0
32077,14906,,,,,,,0
32078,14907,,,,,,,0
32079,14908,,,,,,,0
32080,14909,,,,,,,0
32081,14910,,,,,,,0
32082,14911,,,,,,,0
32083,14912,,,,,,,0
32084,14913,,,,,,,0
32085,14914,,,,,,,0
32086,14917,,,,,,,0
32087,14918,,,,,,,0
32088,14919,,,,,,,0
32089,14924,,,,,,,0
32090,14925,,,,,,,0
32091,14926,,,,,,,0
32092,14927,,,,,,,0
32093,14928,,,,,,,0
32094,14929,,,,,,,0
32095,14930,,,,,,,0
32096,14931,,,,,,,0
32097,14932,,,,,,,0
32098,14932,,,,,,,0
32099,14933,,,,,,,0
32100,14934,,,,,,,0
32101,14936,,,,,,,0
32102,14937,,,,,,,0
32103,15001,,,,,,,0
32104,15002,,,,,,,0
32105,15003,,,,,,,0
32106,15004,,,,,,,0
32107,15005,,,,,,,0
32108,15006,,,,,,,0
32109,15007,,,,,,,0
32110,15008,,,,,,,0
32111,15009,,,,,,,0
32112,15011,,,,,,,0
32113,15012,,,,,,,0
32114,15013,,,,,,,0
32115,15014,,,,,,,0
32116,15015,,,,,,,0
32117,15016,,,,,,,0
32118,15017,,,,,,,0
32119,15018,,,,,,,0
32120,15019,,,,,,,0
32121,15020,,,,,,,0
32122,15021,,,,,,,0
32123,15022,,,,,,,0
32124,15023,,,,,,,0
32125,15024,,,,,,,0
32126,15025,,,,,,,0
32127,15026,,,,,,,0
32128,15027,,,,,,,0
32129,15028,,,,,,,0
32130,15029,,,,,,,0
32131,15030,,,,,,,0
32132,15031,,,,,,,0
32133,15032,,,,,,,0
32134,15037,,,,,,,0
32135,15038,,,,,,,0
32136,15039,,,,,,,0
32137,15040,,,,,,,0
32138,15041,,,,,,,0
32139,15042,,,,,,,0
32140,15043,,,,,,,0
32141,15044,,,,,,,0
32142,15045,,,,,,,0
32143,15246,1,,,"Door ajar switch",5.00,8.75,0
32144,15246,,,,,,,0
32145,15039,,,,,,,0
32146,15040,,,,,,,0
32147,15041,,,,,,,0
32148,15043,,,,,,,0
32149,15044,,,,,,,0
32150,15045,,,,,,,0
32151,15046,,,,,,,0
32152,15047,,,,,,,0
32153,15048,,,,,,,0
32154,15049,,,,,,,0
32155,15050,,,,,,,0
32156,15051,,,,,,,0
32157,15052,,,,,,,0
32158,15053,,,,,,,0
32159,15054,,,,,,,0
32160,15055,,,,,,,0
32161,15056,,,,,,,0
32162,15057,,,,,,,0
32163,15058,,,,,,,0
32164,15059,,,,,,,0
32165,15060,,,,,,,0
32166,15061,,,,,,,0
32167,15062,,,,,,,0
32168,15064,,,,,,,0
32169,15066,,,,,,,0
32170,15067,,,,,,,0
32171,15068,,,,,,,0
32172,15069,,,,,,,0
32173,15069,,,,,,,0
32174,15070,,,,,,,0
32175,15071,,,,,,,0
32176,15072,,,,,,,0
32177,15073,,,,,,,0
32178,15074,,,,,,,0
32179,15075,,,,,,,0
32180,15076,,,,,,,0
32181,1506694177,,,,,,,0
32182,15078,,,,,,,0
32183,15079,,,,,,,0
32184,15080,,,,,,,0
32185,15080,,,,,,,0
32186,15081,,,,,,,0
32187,15082,,,,,,,0
32188,15083,,,,,,,0
32189,15084,,,,,,,0
32190,15085,,,,,,,0
32191,15086,,,,,,,0
32192,15087,,,,,,,0
32193,15088,,,,,,,0
32194,15089,,,,,,,0
32195,15090,,,,,,,0
32196,15091,,,,,,,0
32197,15092,,,,,,,0
32198,15093,,,,,,,0
32199,15096,,,,,,,0
32200,15098,,,,,,,0
32201,15099,,,,,,,0
32202,15099,,,,,,,0
32203,15236,1,,,"Oil filter",1.79,8.00,0
32204,15247,1,,,"Oil filter",1.79,8.00,0
32205,15248,1,,,"Passenger side window with motor",110.47,194.44,0
32206,12983,,,,,,,0
32207,15247,,,,,,,0
32208,15200,,,,,,,0
32209,15201,,,,,,,0
32210,15199,,,,,,,0
32211,15198,,,,,,,0
32212,15197,,,,,,,0
32213,15196,,,,,,,0
32214,15195,,,,,,,0
32215,15194,,,,,,,0
32216,15193,,,,,,,0
32217,15192,,,,,,,0
32218,15101,,,,,,,0
32219,15100,,,,,,,0
32220,15099,,,,,,,0
32221,15098,,,,,,,0
32222,15096,,,,,,,0
32223,15095,,,,,,,0
32224,15093,,,,,,,0
32225,15091,,,,,,,0
32226,15089,,,,,,,0
32227,15087,,,,,,,0
32228,15085,,,,,,,0
32229,15086,,,,,,,0
32230,15084,,,,,,,0
32231,15083,,,,,,,0
32232,15081,,,,,,,0
32233,15080,,,,,,,0
32234,15079,,,,,,,0
32235,15078,,,,,,,0
32236,15069,,,,,,,0
32237,15064,,,,,,,0
32238,15062,,,,,,,0
32239,13049,,,,,,,0
32240,15249,0,,,,0.00,0.00,0
32241,15250,1,,,"Oil filter",1.79,8.00,0
32242,15251,1,,,"Water pump",127.79,204.46,0
32243,15251,,,,,,,0
32244,15252,1,,,"Light bulb for dash",6.00,9.75,0
32245,15253,1,,,"Fuel pump and fuel filter",338.73,458.73,0
32246,15253,,,,,,,0
32247,15253,,,,,,,0
32248,15253,,,,,,,0
32249,15253,,,,,,,0
32250,15253,,,,,,,0
32251,15254,0,,,,0.00,0.00,0
32252,15009,,,,,,,0
32253,15255,1,,,"Thermostat",6.14,10.80,0
32254,15255,1,,,"Belt tensioner",56.07,98.68,0
32255,15256,1,,,"Front drive shaft - used",250.00,350.00,0
32256,15257,1,,,"Wires",41.16,76.56,0
32257,15257,1,,,"#4 Ignition coil",61.15,121.16,0
32258,15258,1,,,"Passenger front hub assembly",93.98,156.48,0
32259,15258,,,,,,,0
32260,15259,1,,,"valve and tube assembly",27.30,34.12,0
32261,15260,1,,,"Left and right front axles",105.25,185.24,0
32262,15260,1,,,"Fuel filter",8.00,12.14,0
32263,15261,1,,,"Oil filter",1.79,8.00,0
32264,15262,0,,,,0.00,0.00,0
32265,14774,,,,,,,0
32266,112956,,,,,,,0
32267,10795,,,,,,,0
32268,11477,,,,,,,0
32269,13442,,,,,,,0
32270,15263,1,,,"Hose, clamps and fluid",20.00,35.00,0
32271,15263,1,,,"Pump resevoir",19.84,26.45,0
32272,15264,1,,,"Thermostat and gasket and antifreeze",20.55,36.16,0
32273,11654,,,,,,,0
32274,15265,1,,,"Passenger side window regulator w/motor",85.93,151.24,0
32275,15266,0,,,,,0.00,0
32276,152667,1,,,"Oil filter",1.79,8.00,0
32277,152667,,,,,,,0
32278,15268,1,,,"Oil filter",1.79,8.00,0
32279,15269,1,,,"Battery",60.95,80.95,0
32280,15270,1,,,"Oil filter",1.79,8.00,0
32281,15271,1,,,"Oil filter",1.79,8.00,0
32282,15271,1,,,"egr pressure sensor",40.11,70.59,0
32283,15200,,,,,,,0
32284,15270,,,,,,,0
32285,15272,1,,,"Oil filter",1.79,8.00,0
32286,15272,,,,,,,0
32287,15273,0,,,"0",,0.00,0
32288,15274,1,,,"Oil filter",1.79,8.00,0
32289,15274,1,,,"Thermostat and gasket",4.23,6.77,0
32290,15274,1,,,"Air filter",4.92,8.66,0
32291,15274,,,,,,,0
32292,15273,,,,,,,0
32293,15274,,,,,,,0
32294,15275,1,,,"Head gasket",88.39,155.57,0
32295,15275,1,,,"Head bolts",34.09,60.00,0
32296,15275,1,,,"Intake set",24.86,43.76,0
32297,15275,1,,,"Misc. - oil, filter, thermostat, antifreeze",50.00,75.00,0
32298,15276,1,,,"Oil pan gasket",19.45,34.24,0
32299,15276,1,,,"Valve cover gasket",23.34,41.09,0
32300,15276,1,,,"Oil filter",1.79,8.00,0
32301,15277,1,,,"Headlight",8.00,12.75,0
32302,15277,1,,,"Alternator and regulator",64.20,113.00,0
32303,15278,1,,,"Oil filter",1.79,8.00,0
32304,15279,1,,,"New distributor",176.52,304.89,0
32305,15279,,,,,,,0
32306,15280,0,"0","0","0",0.00,0.00,0
32307,15281,1,,,"Serpentine belt",44.90,79.03,0
32308,15283,1,,,"Oil filter",1.79,8.00,0
32309,15284,1,,,"Oil filter",1.79,8.00,0
32310,15285,1,,,"Front stabilizer bar bushings",52.44,92.29,0
32311,15285,1,,,"Right rear brake light",3.00,5.00,0
32312,15286,0,,,"0",,0.00,0
32313,15287,0,,,,0.00,0.00,0
32314,15288,1,,,"Oil filter",1.79,8.00,0
32315,15289,1,,,"Intake manifold gasket set",73.15,136.06,0
32316,15289,1,,,"Thermostat, oil filter, antifreeze, misc .",30.00,45.00,0
32317,15290,1,,,"Gas cap",11.34,19.96,0
32318,15290,,,,,,,0
32319,15291,1,,,"Oil filter",1.79,8.00,0
32320,15291,1,,,"Air filter",6.00,10.38,0
32321,15292,1,,,"Oil filter",1.79,8.00,0
32322,15293,1,,"61356","Oil filter",1.79,8.00,0
32323,15294,1,,,"Antifreeze",12.00,20.00,0
32324,15294,1,,,"Resevoir cap",5.00,8.95,0
32325,15295,1,,,"Oil filter",1.79,8.00,0
32326,13718,,,,,,,0
32327,15296,1,,,"Heater switch",16.18,28.49,0
32328,15296,1,,,"Lever - transm",137.03,178.50,0
32329,15296,1,,,"Oil filter",1.79,8.00,0
32330,15297,1,,,"Oil filter",1.79,8.00,0
32331,15298,1,,,"Thermostat and gasket",11.72,20.63,0
32332,15299,1,,,"Oil filter",1.79,8.00,0
32333,15300,1,,,"Crank shaft position sensor",93.20,106.55,0
32334,15300,,,,,,,0
32335,15301,1,,,"Rack and pinion steering gear",289.22,419.27,0
32336,15301,1,,,"Fluid",3.00,5.00,0
32337,15301,1,,,"Belt",44.90,79.03,0
32338,15301,1,,,"Power steering reservoir",15.02,26.45,0
