id,customer_id,make,model,year,engine,drive_type,fleet_no
432,322,"Buick","Century","1992",,,
433,323,"Ford","Taurus","2000",,,
434,324,"Dodge","Stratus","1996",,,
435,325,"Ford","Taurus","1998",,,
436,21,,,,,,
437,326,"Jeep","Cherokee","1997",,,
438,22,,,,,,
439,327,"Ford","Crown Victoria","1993",,,
440,328,"Pontiac`","Van","2001",,,
441,329,"Dodge","Ram","1998",,,
442,330,"Ford","Van",,,,
443,331,"Ford","Escort","1997",,,
444,332,"Ford","Mustang","1994",,,
445,318,"Chevy","Venture","1997",,,
446,92,"Chevy","S10",,,,
447,73,"Chevy","Impala","2000",,,
448,179,,,,,,
449,296,,,,,,
450,333,"Chevy","S10","1995",,,
451,106,"Lincoln","LS","2001","3.0",,
452,324,,,,,,
453,104,"Chevy","Malibu","1999",,,
454,335,"Ford","F150","1995",,,
455,336,"Chevy","Lumina","1995",,,
456,337,"Ford","Aerostar","1992",,,
457,271,"Buick","LaSabre","2005",,,
458,336,,,,,,
459,55,,,,,,
460,257,,,,,,
461,224,"Chevy","Blazer","1998",,,
462,338,"Toyota","Corolla","1991",,,
463,141,"Dodge","Ram","1994",,,
464,339,"Chevy","Malibu","1998",,,
465,220,"Mercury","Grand Marquis",,,,
466,128,"Chevy","Car",,,,
467,128,,,,,,
468,340,"Olds","98","1998",,,
469,230,,,,,,
470,341,"Olds","Cutlass Supreme","1994",,,
471,100,,,,,,
472,100,,,,,,
473,342,"Dodge","Caravan","2001",,,
474,343,"Toyota","Corolla","2001",,,
475,124,"GMC","Truck","1991",,,
476,92,"Chevy","S10","Truck 153",,,"153"
477,92,,,,,,
478,92,,,,,,
479,92,,,,,,
480,318,"Company vehicles",,,,,
481,92,"Chevy","S-10","1998 #29",,,"29"
482,147,,,,,,
483,93,,,,,,
484,183,,,,,,
485,265,,,,,,
486,240,"Ford","Taurus","1999",,,
487,344,"Acura",,"1997",,,
488,233,"Chrysler","Cirrus","1998",,,
489,345,"Truck",,,,,
490,67,,,,,,
491,346,"Ford","Ranger XLT","1991",,,
492,265,,,,,,
493,167,,,,,,
494,277,,,,,,
495,347,"Ford","Expedition","1999","5.4",,
496,24,,,,,,
497,348,"Ford","Bronco","1994",,,
498,349,"Dodge","Caravan","1998",,,
499,350,"Ford","Taurus","2000",,,
500,272,,,,,,
501,257,,,,,,
502,351,"Dodge","Ram","2002",,,
503,67,,,,,,
504,352,"Pontiac","Grand Am","2000",,,
505,100,,,,,,
506,353,"Lincoln","Town Car","1985",,,
507,311,,,,,,
508,355,"Dodge","Shadow","1993",,,
509,356,,"Suburban","1999",,,
